# Nature (Nouns / Nature).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
天	てん	noun	heaven; sky (conceptual)
土	つち	noun	soil; earth
種	たね	noun	seed; kind; variety
火	ひ	noun	fire; flame
炎	ほのお	noun	flame; blaze
雷	かみなり	noun	thunder; lightning
闇	やみ	noun	darkness; the dark
影	かげ	noun	shadow; shade; figure (in shadow)
光	ひかり	noun	light
岩	いわ	noun	rock (type); rock
石	いし	noun	stone; rock
蕾	つぼみ	noun	bud (flower bud)
汚泥	おでい	noun	mud; mire
河	かわ	noun	river
花粉	かふん	noun	pollen
景色	けしき	noun	scenery; view
礫	つぶて	noun	stone (thrown); gravel
雨	あめ	noun	rain
雪	ゆき	noun	snow
風	かぜ	noun	wind
空	そら	noun	sky
雲	くも	noun	cloud
星	ほし	noun	star
月	つき	noun	moon; month
太陽	たいよう	noun	sun
山	やま	noun	mountain
川	かわ	noun	river
海	うみ	noun	sea; ocean
池	いけ	noun	pond
湖	みずうみ	noun	lake
森	もり	noun	forest
林	はやし	noun	woods; grove
木	き	noun	tree; wood
花	はな	noun	flower; blossom
草	くさ	noun	grass; weeds; vegetation
葉	は	noun	leaf
自然	しぜん	noun	nature
空気	くうき	noun	air; atmosphere
水	みず	noun	water
水仙	すいせん	noun	daffodil; narcissus
冬眠	とうみん	noun	hibernation
収穫	しゅうかく	noun	harvest; crop; yield
干潮	かんちょう	noun	low tide; ebb tide
幹	みき	noun	tree trunk
星座	せいざ	noun	constellation
微生物	びせいぶつ	noun	microorganism; microbe
桜	さくら	noun	cherry blossom; cherry tree
夜桜	よざくら	noun	cherry blossoms viewed at night
樹木	じゅもく	noun	trees; woody plants
