# Work (Nouns / Business).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
社長	しゃちょう	noun	company president
部長	ぶちょう	noun	department head
家業	かぎょう	noun	family business
上司	じょうし	noun	boss; supervisor
農業	のうぎょう	noun	agriculture
経費	けいひ	noun	expenses; costs
組織	そしき	noun	organization (group/system)
人材	じんざい	noun	personnel; human resources; talented person
社員教育	しゃいんきょういく	noun	employee training
管理	かんり	noun	management; control; administration
人手	ひとで	noun	manpower; hands (workers)
会社	かいしゃ	noun	company
社員	しゃいん	noun	employee
仕事	しごと	noun	work; job
練習	れんしゅう	noun	practice; training
契約	けいやく	noun	contract
会議	かいぎ	noun	meeting; conference
休業	きゅうぎょう	noun	suspension of business; closed
労働	ろうどう	noun	labor; manual work
共働き	ともばたらき	noun	dual-income (both spouses work)
名刺	めいし	noun	business card
副業	ふくぎょう	noun	side job; second occupation
勤務	きんむ	noun	work; service; duty
出勤	しゅっきん	noun	going to work; attendance
履歴書	りれきしょ	noun	résumé; CV
担当	たんとう	noun	being in charge; person responsible
昇進	しょうしん	noun	promotion (in rank)
休暇	きゅうか	noun	vacation; leave; holiday
求人	きゅうじん	noun	job offer; help wanted
遊牧	ゆうぼく	noun	nomadism; pastoral nomadism
出稼ぎ	でかせぎ	noun	working away from home
稲作	いなさく	noun	rice cultivation
業績	ぎょうせき	noun	achievements; business results
産業	さんぎょう	noun	industry
農家	のうか	noun	farmer; farmhouse
引退	いんたい	noun	retirement (from a career)
経営	けいえい	noun	management; administration
