# Family (Nouns / People).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
子供	こども	noun	child; children
子ども	こども	noun	child
子	こ	noun	child
赤ちゃん	あかちゃん	noun	baby; infant
赤ん坊	あかんぼう	noun	baby; infant
親父	おやじ	noun	old man; (colloquial) father
長男	ちょうなん	noun	eldest son
長女	ちょうじょ	noun	eldest daughter
次男	じなん	noun	second son
三男	さんなん	noun	third son
祖母	そぼ	noun	grandmother
童	わらべ	noun	child
娘	むすめ	noun	daughter
母親	ははおや	noun	mother
家族	かぞく	noun	family
両親	りょうしん	noun	parents
母	はは	noun	mother
父	ちち	noun	father
兄	あに	noun	older brother (my)
姉	あね	noun	older sister (my)
弟	おとうと	noun	younger brother
妹	いもうと	noun	younger sister
大人	おとな	noun	adult
