# things materials kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
鋼	コウ	はがね	steel	金	かねへん	金、岡	16	6
銭	セン	ぜに	coin; money; 1/100 yen	金	かねへん	金、戔	14	5
剤	ザイ		medicine; dose; drug	刂	りっとう	斉、刂	10
紺	コン		navy blue; dark blue	糸	いとへん	糸、甘	11
紫	シ	むらさき	purple; violet	糸	いと	此、糸	12
彩	サイ	いろど(る)	coloring; to color	彡	さんづくり	采、彡	11
索	サク		rope; to search; to grope	糸	いと	龶、冖、糸	10
酸	サン	す(い)	acid; sour; bitterness	酉	とりへん	酉、夋	14	5
盤	バン		tray; board; disk	皿	さら	般、皿	15
鑑	カン	かんが(みる)	model; to discern; appraisal	金	かねへん	金、監	23
魔	マ		demon; devil; magic	鬼	おに	麻、鬼	21
麻	マ	あさ	hemp; flax; numb	麻	あさ	广、林	11
孤	コ		orphan; alone; solitary	子	こへん	子、瓜	9
縮	シュク	ちぢ(む)、ちぢ(める)	to shrink; to contract	糸	いとへん	糸、宿	17	6
障	ショウ	さわ(る)	hindrance; to interfere	阝	こざとへん	阝、章	14	6
織	ショク、シキ	お(る)	to weave	糸	いとへん	糸、戠	18	5
幕	マク、バク		curtain; act; shogunate	巾	はば	莫、巾	13	6
剣	ケン	つるぎ	sword; blade; saber	刂	りっとう	僉、刂	10
拳	ケン	こぶし	fist	手	て	龹、手	10
響	キョウ	ひび(く)	echo; to resound	音	おと	郷、音	20
聴	チョウ	き(く)	to listen	耳	みみへん	耳、悳	17
稼	カ	かせ(ぐ)	to earn; to work	禾	のぎへん	禾、家	15
暇	カ	ひま	free time; leisure	日	ひへん	日、叚	13
銃	ジュウ		gun; firearm	金	かねへん	金、充	14
錠	ジョウ		lock; tablet (pill)	金	かねへん	金、定	16
栓	セン		plug; stopper; cork	木	きへん	木、全	10
糖	トウ		sugar	米	こめへん	米、唐	16	6
鈴	レイ、リン	すず	bell; small bell	金	かねへん	金、令	13
鉛	エン	なまり	lead (metal)	金	かねへん	金、㕣	13
錬	レン		to refine; to temper; to drill	金	かねへん	金、柬	16
呂	ロ		spine; musical note; (phonetic ro)	口	くち	口、一、口	7
砲	ホウ		gun; cannon	石	いしへん	石、包	10
駄	ダ		burdensome; trivial; geta	馬	うまへん	馬、太	14
旦	タン、ダン		daybreak; dawn	日	ひ	日、一	5
棚		たな	shelf; rack; trellis	木	きへん	木、朋	12
紋	モン		crest; pattern; family emblem	糸	いとへん	糸、文	10
斎	サイ		purification; study room; to abstain	斉	せい	斉、小	11
斗	ト		to (unit ~18L); dipper	斗	とます		4
唄	バイ	うた	song; ballad; chant	口	くちへん	口、貝	10
韻	イン		rhyme; tone; elegance	音	おと	音、員	19
瑛	エイ		crystal; sparkle of jewelry; (name)	王	おうへん	王、英	12
叡	エイ		intelligence; imperial; (name)	又	また	睿、又	16
綺	キ	あや	figured cloth; beautiful; (name)	糸	いとへん	糸、奇	14
颯	サツ		sudden; refreshing; (name)	風	かぜ	立、風	14
馨	ケイ	かお(る)	fragrant; (name)	香	かおり	殸、香	20
壱	イチ		one (formal)	士	さむらい	士、冖、匕	7
弐	ニ		two (formal)	弋	しきがまえ	弋、二	6
曽	ソウ、ゾ		formerly; great-(grandparent)	日	ひらび	⺍、田、日	11
