# verbs kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
挑	チョウ	いど(む)	to challenge; to defy	扌	てへん	扌、兆	9
握	アク	にぎ(る)	to grip; to grasp	扌	てへん	扌、屋	12
掛		か(ける)、か(かる)	to hang; to cost; to multiply	扌	てへん	扌、卦	11
滑	カツ、コツ	すべ(る)、なめ(らか)	to slide; smooth	氵	さんずい	氵、骨	13
撃	ゲキ	う(つ)	to attack; to strike	手	て	軗、手	15
継	ケイ	つ(ぐ)	to inherit; to succeed	糸	いとへん	糸、㡭	13
振	シン	ふ(る)、ふ(るう)	to wave; to shake; to swing	扌	てへん	扌、辰	10
推	スイ	お(す)	to infer; to recommend; to push	扌	てへん	扌、隹	11	6
提	テイ	さ(げる)	to propose; to carry; to present	扌	てへん	扌、是	12	5
迫	ハク	せま(る)	to press; to urge; imminent	辶	しんにょう	白、辶	8
援	エン		to aid; to assist; to rescue	扌	てへん	扌、爰	12
駆	ク	か(ける)、か(る)	to gallop; to drive; to rush	馬	うまへん	馬、区	14
屈	クツ		to bend; to yield; stoop	尸	しかばね	尸、出	8
掲	ケイ	かか(げる)	to hoist; to publish; to put up	扌	てへん	扌、曷	11
携	ケイ	たずさ(える)、たずさ(わる)	to carry; to participate	扌	てへん	扌、隹	13
激	ゲキ	はげ(しい)	violent; intense; fierce	氵	さんずい	氵、敫	16	6
攻	コウ	せ(める)	to attack; to assault	攵	ぼくづくり	工、攵	7
削	サク	けず(る)	to scrape; to delete; to sharpen	刂	りっとう	肖、刂	9
促	ソク	うなが(す)	to urge; to prompt	亻	にんべん	亻、足	9
衝	ショウ		collision; thoroughfare; impulse	行	ぎょうがまえ	行、重	15
敷	フ	し(く)	to spread; to lay out	攵	ぼくづくり	尃、方、攵	15
釣		つ(る)	to fish; to angle; to lure	金	かねへん	金、勺	11
酔	スイ	よ(う)	to get drunk; intoxicated	酉	とりへん	酉、卒	11
濁	ダク	にご(る)、にご(す)	muddy; impure; voiced sound	氵	さんずい	氵、蜀	16
仰	ギョウ、コウ	あお(ぐ)、おお(せ)	to look up; to revere	亻	にんべん	亻、卬	6
遣	ケン	つか(う)、つか(わす)	to send; to dispatch	辶	しんにょう	𠳋、辶	13
履	リ	は(く)	footwear; to wear (shoes); to carry out	尸	しかばね	尸、復	15
裂	レツ	さ(く)、さ(ける)	to split; to tear; to rend	衣	ころも	列、衣	12
滅	メツ	ほろ(びる)、ほろ(ぼす)	to perish; to destroy; to ruin	氵	さんずい	氵、烕	13
壊	カイ	こわ(す)、こわ(れる)	to break; to destroy	土	つちへん	土、褱	16
