# Transport (Nouns / Transportation).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
飛行	ひこう	noun	flight; flying; aviation
一泊	いっぱく	noun	one night stay
機内	きない	noun	onboard (an aircraft); inside the airplane
電車	でんしゃ	noun	train
地下鉄	ちかてつ	noun	subway
車	くるま	noun	car
自転車	じてんしゃ	noun	bicycle
道	みち	noun	road; way
交差点	こうさてん	noun	intersection
信号	しんごう	noun	traffic light; signal
切符	きっぷ	noun	ticket
事故	じこ	noun	accident
散歩	さんぽ	noun	walk; stroll
旅行	りょこう	noun	travel; trip
出発	しゅっぱつ	noun	departure
到着	とうちゃく	noun	arrival
飛行機	ひこうき	noun	airplane
交通	こうつう	noun	traffic; transportation
渋滞	じゅうたい	noun	traffic jam
事故現場	じこげんば	noun	accident site
運転	うんてん	noun	driving; operation
駅	えき	noun	station
駅前	えきまえ	noun	in front of the station
バス停	ばすてい	noun	bus stop
列車	れっしゃ	noun	train
新幹線	しんかんせん	noun	Shinkansen; bullet train
徒歩	とほ	noun	on foot; walking
滑走路	かっそうろ	noun	runway
環状線	かんじょうせん	noun	loop line (railway)
貨物	かもつ	noun	freight; cargo
踏切	ふみきり	noun	railroad crossing
送迎	そうげい	noun	pickup and drop-off; transfer
着陸	ちゃくりく	noun	landing (aircraft)
駐車	ちゅうしゃ	noun	parking
改札	かいさつ	noun	ticket gate; ticket inspection
